Valencia,1976-77,0,1,0,0,1,2,0,2,0,1,0,2,0,1,0,1,2,2,0,2,0,1,2,1,1,0,1,2,2,2,7.0
Celta de Vigo,1976-77,2,0,0,2,1,2,0,2,0,1,2,1,1,2,1,2,1,0,2,2,0,1,1,2,0,1,0,2,1,2,17.0
Las Palmas,1977-78,1,1,0,1,0,2,0,2,0,2,0,0,2,1,2,0,1,2,1,2,1,0,1,0,1,2,0,2,2,1,7.0
Burgos,1977-78,1,2,2,0,2,1,1,2,0,2,0,2,1,2,0,1,1,0,2,0,2,0,1,2,0,1,0,2,0,2,12.0
Sevilla,1977-78,0,2,0,2,1,2,0,2,0,2,0,1,0,1,0,1,1,2,1,2,2,0,0,2,1,2,0,2,0,1,8.0
Espanol,1977-78,2,0,2,2,0,2,0,2,0,2,1,2,0,2,0,2,0,0,2,2,0,2,0,1,1,1,0,1,2,0,14.0
Atletico de Madrid,1977-78,0,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0,2,1,0,2,0,2,2,0,2,0,0,0,0,2,6.0
Valencia,1977-78,2,0,1,0,2,0,2,0,2,0,1,0,2,0,2,1,0,1,0,1,2,2,0,0,1,0,2,0,0,0,4.0
Barcelona,1977-78,0,1,1,0,0,0,2,0,2,0,1,2,1,0,0,1,2,0,0,0,2,1,1,0,1,0,2,1,2,0,2.0
Real Sociedad,1977-78,2,0,2,0,2,0,1,0,2,2,2,1,0,1,0,2,0,2,2,0,1,1,1,0,1,1,2,0,2,0,11.0
Cadiz,1977-78,0,2,0,2,2,2,2,1,1,0,2,1,2,0,2,1,1,2,2,2,2,1,0,0,2,1,2,2,2,2,18.0
Rayo Vallecano,1977-78,2,0,1,1,2,0,2,0,2,0,2,0,0,1,0,1,0,0,2,0,1,1,2,1,2,1,1,2,2,2,10.0
Hercules,1977-78,0,2,1,2,0,1,0,2,1,2,2,2,2,1,2,2,1,2,1,2,0,1,0,2,0,1,0,0,0,0,15.0
Elche,1977-78,2,0,2,0,1,0,2,0,2,0,0,2,2,2,2,2,1,0,1,0,2,2,2,0,2,2,2,0,2,2,17.0
Salamanca,1977-78,0,0,2,2,0,2,1,0,0,2,0,0,0,1,2,1,2,1,0,2,0,1,2,2,0,2,2,0,0,2,9.0
Real Madrid,1977-78,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,1,0,2,2,0,2,0,2,0,2,0,0,1.0
Rayo Vallecano,1979-80,0,2,2,1,1,2,1,0,1,0,2,0,2,1,1,1,2,2,2,2,2,0,2,0,0,1,2,0,2,0,16.0
Espanol,1979-80,0,0,0,2,1,1,1,2,1,2,2,2,1,1,0,0,1,1,1,1,0,2,2,2,2,2,1,2,1,0,14.0
Sporting de Gijon,1979-80,0,0,0,0,0,0,0,1,2,2,1,0,2,1,2,0,0,2,1,2,0,2,0,1,0,2,0,2,1,2,3.0
Sevilla,1979-80,2,0,2,0,1,2,0,2,1,1,0,2,0,2,0,2,0,0,2,0,2,2,2,2,0,1,0,1,0,2,8.0
Real Sociedad,1979-80,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,2.0
Las Palmas,1979-80,2,0,2,0,2,0,1,0,1,2,0,2,0,2,0,2,0,1,2,0,1,1,0,0,0,2,0,2,2,2,12.0
Burgos,1979-80,0,2,1,2,1,2,1,2,0,2,1,2,0,1,1,2,1,2,0,2,1,2,1,2,1,2,2,2,2,0,17.0
CD Malaga,1979-80,2,2,0,1,0,2,0,2,1,2,1,2,2,2,1,2,2,0,1,2,0,1,0,2,2,2,2,0,2,2,18.0
Hercules,1979-80,2,2,0,1,1,2,0,2,1,2,0,1,1,1,1,0,2,2,0,2,1,2,1,2,0,2,1,2,1,2,15.0
Atletico de Madrid,1979-80,0,2,1,1,1,1,1,2,2,2,0,2,0,1,1,1,1,0,1,0,2,0,0,2,2,2,0,2,0,1,13.0
Real Madrid,1979-80,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,2,2,0,0,0,0,1,0,1,1,1,0,0,0,1.0
Valencia,1979-80,2,1,1,1,2,0,2,0,0,0,2,0,0,2,1,1,1,0,1,1,1,0,1,0,2,0,2,0,1,2,6.0
Salamanca,1979-80,0,1,0,1,0,0,0,2,1,2,2,2,2,0,2,1,2,2,1,0,1,2,2,2,1,0,2,0,1,2,9.0
Zaragoza,1979-80,1,2,2,0,2,2,2,0,0,0,1,0,2,0,2,1,0,2,1,1,2,2,0,2,2,0,0,0,2,1,11.0
Barcelona,1979-80,1,0,2,1,2,0,2,0,1,1,2,0,2,0,1,2,0,0,2,2,1,1,1,1,1,0,2,0,0,0,4.0
Espanol,1980-81,0,2,0,2,0,2,0,0,1,1,2,0,2,1,2,1,0,2,0,2,1,0,1,2,0,2,0,0,0,2,10.0
Hercules,1980-81,2,1,0,1,1,0,2,2,2,0,1,2,1,0,2,1,0,0,2,1,0,2,1,2,2,2,0,1,2,2,13.0
Sporting de Gijon,1980-81,0,1,0,1,1,2,0,1,1,2,0,2,1,1,2,0,0,2,0,2,0,1,0,0,0,1,0,2,2,0,7.0
Sevilla,1980-81,0,2,0,0,0,2,2,0,1,0,2,0,0,1,2,1,2,1,1,2,0,1,0,1,1,0,2,0,2,0,8.0
Salamanca,1980-81,2,2,2,1,2,2,1,2,2,2,2,1,0,2,0,2,0,1,1,0,2,2,1,2,2,0,2,0,1,2,17.0
Valencia,1980-81,0,0,2,0,0,1,0,2,0,2,0,0,0,1,2,0,0,2,1,1,1,0,0,2,1,2,1,2,0,0,4.0
Real Sociedad,1980-81,2,0,0,1,1,2,0,0,0,2,0,2,0,1,0,1,2,0,0,0,2,2,1,2,0,0,0,1,0,0,1.0
Real Madrid,1980-81,0,0,2,0,2,0,2,0,2,0,1,0,2,0,1,2,1,0,1,0,1,2,2,0,0,0,2,0,0,0,2.0
Zaragoza,1980-81,0,0,0,0,1,1,2,2,2,0,1,2,2,2,1,1,0,2,1,2,1,1,2,0,2,2,2,1,1,0,14.0
Atletico de Madrid,1980-81,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,2,0,2,2,1,0,0,0,2,1,2,3.0
Barcelona,1980-81,0,0,2,2,2,0,2,2,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,1,0,2,2,1,2,5.0
Osasuna,1980-81,0,2,2,1,0,0,0,2,0,1,0,2,0,1,0,2,1,2,2,1,2,2,1,2,2,2,0,1,0,2,11.0
Las Palmas,1980-81,2,1,2,2,1,2,1,0,0,2,0,0,2,0,0,2,2,0,1,2,2,0,2,0,0,2,2,0,2,2,15.0
Atletico de Madrid,1981-82,0,2,0,2,0,2,0,2,1,2,2,2,0,0,2,0,0,2,2,2,0,0,1,2,2,2,0,0,2,0,8.0
Barcelona,1981-82,0,2,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,0,2,2,2.0
Cadiz,1981-82,2,0,2,0,2,0,2,1,2,0,2,0,2,1,2,2,0,0,2,0,2,0,2,0,2,1,2,0,2,2,16.0
Las Palmas,1981-82,1,0,2,1,2,0,2,2,2,0,0,0,2,0,0,2,1,2,2,1,2,2,1,0,2,0,2,1,2,0,15.0
Hercules,1981-82,0,2,0,2,0,2,0,1,1,2,2,2,2,0,2,2,2,0,2,2,2,0,0,2,0,0,1,2,0,2,17.0
Espanol,1981-82,2,2,1,0,2,2,0,2,0,2,0,0,2,2,0,2,0,2,1,0,0,2,0,1,2,1,0,2,0,0,13.0
Real Sociedad,1981-82,0,0,0,1,0,0,1,0,2,0,1,0,2,0,2,0,1,1,0,2,0,0,0,2,1,0,2,0,2,0,1.0
Real Madrid,1981-82,2,0,1,0,1,0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,1,2,1,1,1,0,2,3.0
Sevilla,1981-82,2,2,1,2,0,2,1,0,0,2,1,0,2,2,0,0,2,2,0,2,1,2,1,0,0,2,0,2,0,0,7.0
Osasuna,1981-82,0,0,1,0,0,1,2,2,2,2,2,2,0,2,0,2,2,0,0,0,2,0,2,2,0,2,0,1,1,1,10.0
Sporting de Gijon,1981-82,2,0,2,0,2,0,1,1,1,0,2,0,2,2,2,0,1,1,0,1,2,2,1,2,2,2,2,0,1,2,14.0
Zaragoza,1981-82,0,0,1,0,1,2,0,0,1,2,1,0,0,2,2,0,0,2,1,2,2,2,1,2,0,0,0,2,0,2,11.0
Valencia,1981-82,2,0,1,2,0,2,0,1,0,2,0,2,0,2,0,2,0,0,1,2,0,2,0,0,0,2,0,0,0,1,5.0
Espanol,1982-83,0,2,2,1,1,2,0,1,0,2,0,2,0,2,0,0,2,0,1,2,0,1,2,2,0,2,0,2,1,2,9.0
CD Malaga,1982-83,1,1,2,1,0,2,2,2,0,2,0,1,1,2,2,2,0,2,0,2,0,1,0,2,1,0,0,1,1,1,10.0
Sporting de Gijon,1982-83,1,1,0,0,1,1,1,1,1,1,0,1,1,2,0,2,0,0,1,2,0,2,1,2,1,2,0,2,1,2,8.0
Real Sociedad,1982-83,1,1,0,1,0,1,0,1,1,0,1,2,0,2,2,1,2,2,1,0,0,2,0,1,0,2,0,1,1,2,7.0
Las Palmas,1982-83,1,0,1,1,2,0,2,1,2,1,2,0,2,1,2,0,2,0,1,1,2,1,1,2,2,2,2,0,1,0,16.0
Valencia,1982-83,0,2,1,2,2,1,2,2,2,0,2,1,2,0,2,2,2,2,2,1,1,0,2,0,2,0,2,1,1,0,15.0
